Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
26,1829,450,43,0,47,192,7,38,32,10313,1220,293,539,259,11751,2328,2057,34,626,1582,641,1660,50,61,0,16,707,8,46,3
1,7,3,1,0,4,5,0,2,3,112,11,4,40,1,144,5,6,1,3,29,9,23,2,10,0,2,0,1,2,0
57,3163,783,14,0,343,159,3,37,127,48387,2527,359,422,9,27625,882,3081,8,2372,2796,1534,2893,241,35,9,34,2,31,126,17
326,3415,571,828,29,638,9499,354,1542,755,35887,3596,5083,1940,1990,19650,5002,5058,795,5657,3912,2805,5174,44,186,50,9,31,87,159,24
179,281,48,41,1,564,206,71,73,521,10846,4642,1740,268,1133,2466,270,336,16,599,826,897,1162,7,102,0,8,360,61,278,187
1,15,4,3,0,7,7,1,6,1,235,46,13,5,1,155,67,37,2,12,18,15,31,1,3,0,0,0,0,2,0
4228,513,150,3782,6754,525,922,2446,6455,7219,10295,18242,12496,733,28050,4116,1235,1318,3691,1899,2175,2081,3815,8,62,52,106,2368,291,376,744
247,348,94,445,39,177,421,116,34,359,4659,1496,1999,263,1796,2097,798,944,443,596,653,685,1139,7,205,38,2,6,32,36,14
533,19798,4205,6974,2,2372,23459,1070,5300,2521,146828,20894,15390,7170,4679,91814,61729,62551,6238,19885,33364,39202,61011,474,4048,53,144,23,466,944,245
1,5,2,2,0,4,3,1,1,1,100,11,6,3,3,54,38,19,2,5,21,6,12,0,0,0,1,1,0,0,0
190,1797,527,856,4,726,3324,286,979,1021,16177,5280,3512,1472,691,13517,3623,5369,729,4682,2585,3115,5579,47,449,66,12,25,75,208,14
27,4087,811,63,0,52,55,4,48,42,22337,1584,168,1261,188,17960,1315,1703,49,384,2696,1044,2775,196,262,16,11,0,10,40,4
4424,1549,326,5473,14333,497,2728,3639,134431,15359,23755,20726,20358,2062,24486,11078,3492,2619,5281,3063,4907,8125,12675,41,188,101,182,367,571,569,1055
37,3513,857,8,0,68,73,2,40,53,30688,1026,148,1439,67,20779,2316,2293,1,628,2963,1985,3429,213,448,15,49,1,29,46,3
194,383,106,360,9,164,404,94,78,253,4791,1117,1521,294,822,2341,856,1191,358,544,688,746,1201,9,206,9,3,2,27,29,8
0,2,1,0,0,2,2,0,1,1,54,17,2,3,1,28,17,10,0,4,15,3,5,0,0,0,0,0,1,1,0
125,746,126,22,1,459,455,53,137,893,17920,2077,1415,695,436,3467,292,555,18,676,3091,1679,2062,77,465,8,104,175,133,172,41
36,908,155,20,0,128,451,19,154,48,5036,425,345,331,89,4542,344,1002,18,701,1035,701,1300,17,68,4,2,0,8,18,3
1,16,5,3,0,4,4,0,9,0,187,29,5,3,2,124,51,34,3,6,10,12,22,0,6,0,0,0,0,2,0
2008,54594,9564,8221,118,6110,65907,1935,15561,5485,397993,88641,29661,13503,7514,266014,65366,42336,7648,44529,76551,38029,78484,1127,9705,22,76,0,190,1661,237
2,2,1,2,0,6,4,2,2,10,104,24,21,12,11,33,20,10,2,10,23,8,15,0,1,0,0,0,0,1,1
51,242,64,13,0,49,236,34,11,27,5256,442,1595,74,52,1921,742,650,12,311,397,283,417,3,4,0,2,668,5,39,7
377,1824,428,173,58,672,591,324,2034,2337,36440,6873,1600,1193,930,16144,3399,3457,164,5536,6770,2925,6311,69,156,10,12,3,190,225,204
3978,495,183,2003,27946,584,1615,2236,52518,8290,14624,21006,24638,1428,15133,6507,2078,2235,1933,2769,2692,3172,5296,25,133,0,115,9,349,448,238
103,13,4,386,22,22,57,92,74,369,431,572,557,28,624,229,55,42,377,78,73,85,145,1,4,0,5,0,12,15,9
431,119,45,478,2559,144,180,389,7202,2748,4822,2333,2105,352,3761,1952,690,447,449,1224,890,738,1203,14,36,0,21,1,67,82,49
21,80,14,13,0,34,83,13,108,70,685,212,174,70,60,431,80,64,12,39,78,83,131,1,3,3,2,0,3,13,4
156,1928,563,767,3,705,3126,310,1051,938,16791,5224,3192,1551,609,14163,3904,5690,644,4934,2780,3223,5796,49,413,45,13,0,75,192,14
26943,1795,630,44661,5861,3549,6254,16142,54745,82646,64190,107779,98073,6100,118202,29868,10930,8275,42580,11705,13987,17704,28474,128,595,26,805,487,4190,2591,2245
